iter	Passed	Remaining
576	6554	4805
577	6565	4793
578	6573	4780
579	6584	4768
580	6594	4755
581	6604	4743
582	6614	4731
583	6625	4719
584	6637	4708
585	6646	4695
586	6656	4683
587	6667	4672
588	6677	4659
589	6686	4646
590	6696	4634
591	6706	4621
592	6714	4608
593	6724	4596
594	6734	4583
595	6743	4571
596	6753	4559
597	6764	4547
598	6774	4535
599	6784	4523
600	6794	4510
601	6803	4497
602	6812	4485
603	6822	4473
604	6829	4459
605	6840	4447
606	6850	4435
607	6860	4423
608	6869	4410
609	6879	4398
610	6888	4385
611	6903	4376
612	6912	4364
613	6922	4351
614	6931	4338
615	6938	4325
616	6948	4313
617	6959	4301
618	6968	4289
619	6978	4277
620	6987	4264
621	6996	4251
622	7005	4239
623	7016	4227
624	7025	4215
625	7034	4202
626	7042	4189
627	7050	4176
628	7066	4168
629	7073	4154
630	7078	4139
631	7083	4124
632	7092	4111
633	7100	4098
634	7108	4086
635	7117	4073
636	7125	4060
637	7134	4048
638	7143	4035
639	7153	4023
640	7162	4011
641	7171	3999
642	7180	3986
643	7190	3975
644	7199	3962
645	7208	3950
646	7217	3937
647	7226	3925
648	7236	3913
649	7246	3901
650	7256	3889
651	7265	3877
652	7273	3865
653	7282	3852
654	7291	3840
655	7301	3828
656	7309	3816
657	7317	3803
658	7323	3789
659	7331	3776
660	7339	3764
661	7347	3751
662	7356	3739
663	7365	3727
664	7374	3714
665	7382	3702
666	7390	3689
667	7399	3677
668	7405	3664
669	7412	3650
670	7421	3638
671	7429	3626
672	7437	3613
673	7445	3601
674	7455	3589
675	7464	3577
676	7472	3565
677	7479	3552
678	7488	3540
679	7498	3528
680	7505	3515
681	7512	3502
682	7522	3491
683	7530	3479
684	7539	3467
685	7548	3455
686	7554	3442
687	7559	3427
688	7566	3415
689	7572	3402
690	7578	3389
691	7586	3376
692	7594	3364
693	7601	3351
694	7611	3340
695	7620	3328
696	7629	3316
697	7636	3304
698	7644	3291
699	7652	3279
700	7662	3268
701	7671	3256
702	7679	3244
703	7688	3232
704	7694	3219
705	7702	3207
706	7710	3195
707	7717	3182
708	7723	3170
709	7733	3158
710	7743	3147
711	7752	3135
712	7761	3124
713	7771	3112
714	7779	3100
715	7787	3089
716	7797	3077
717	7807	3066
718	7815	3054
719	7825	3043
720	7833	3031
721	7841	3019
722	7850	3007
723	7858	2995
724	7866	2983
725	7874	2971
726	7882	2960
727	7892	2948
728	7902	2937
729	7912	2926
730	7922	2915
731	7932	2904
732	7941	2892
733	7950	2881
734	7960	2869
735	7969	2858
736	7978	2847
737	7989	2836
738	7998	2825
739	8006	2813
740	8015	2801
741	8023	2789
742	8032	2778
743	8039	2766
744	8047	2754
745	8056	2743
746	8063	2731
747	8071	2719
748	8081	2708
749	8090	2696
750	8100	2685
751	8109	2674
752	8117	2662
753	8127	2651
754	8136	2640
755	8145	2629
756	8155	2617
757	8163	2606
758	8173	2595
759	8181	2583
760	8191	2572
761	8199	2560
762	8207	2549
763	8217	2538
764	8226	2527
765	8234	2515
766	8244	2504
767	8254	2493
768	8262	2481
769	8270	2470
770	8280	2459
771	8289	2448
772	8298	2437
773	8307	2425
774	8316	2414
775	8327	2403
776	8337	2392
777	8348	2382
778	8355	2370
779	8365	2359
780	8374	2348
781	8383	2337
782	8392	2325
783	8402	2314
784	8412	2304
785	8422	2293
786	8432	2282
787	8442	2271
788	8451	2260
789	8461	2249
790	8471	2238
791	8480	2227
792	8490	2216
793	8500	2205
794	8507	2193
795	8516	2182
796	8526	2171
797	8536	2160
798	8545	2149
799	8556	2139
800	8564	2127
801	8573	2116
802	8582	2105
803	8591	2094
804	8600	2083
805	8608	2071
806	8616	2060
807	8625	2049
808	8635	2038
809	8644	2027
810	8654	2016
811	8664	2005
812	8673	1994
813	8682	1983
814	8690	1972
815	8698	1961
816	8708	1950
817	8715	1939
818	8724	1928
819	8731	1916
820	8738	1905
821	8747	1894
822	8756	1883
823	8764	1872
824	8774	1861
825	8784	1850
826	8793	1839
827	8803	1828
828	8813	1817
829	8823	1807
830	8833	1796
831	8842	1785
832	8850	1774
833	8859	1763
834	8868	1752
835	8876	1741
836	8884	1730
837	8892	1719
838	8899	1707
839	8909	1696
840	8918	1686
841	8927	1675
842	8937	1664
843	8946	1653
844	8956	1642
845	8963	1631
846	8972	1620
847	8980	1609
848	8988	1598
849	8998	1588
850	9004	1576
851	9012	1565
852	9021	1554
853	9029	1543
854	9036	1532
855	9044	1521
856	9054	1510
857	9065	1500
858	9073	1489
859	9083	1478
860	9091	1467
861	9101	1457
862	9110	1446
863	9119	1435
864	9129	1424
865	9140	1414
866	9151	1403
867	9162	1393
868	9169	1382
869	9178	1371
870	9187	1360
871	9197	1350
872	9206	1339
873	9216	1328
874	9224	1317
875	9233	1307
876	9243	1296
877	9252	1285
878	9262	1275
879	9273	1264
880	9283	1253
881	9293	1243
882	9302	1232
883	9313	1222
